Ref. no.,MedConTaCCt_ref,no_of_artifacts,Archaeological excavation,Interpretation of the context,Site,GEO1: town/city/site,GEOCoordinates1,GEOCoordinates2,GEO2_province_region,GEO3_Country,Mining_District,Mine/outcrop,OutcropCoordinates1,OutcropCoordinates2,Main ore,Material,Type_of_object,Typology,Stamps/seals/marks,Period,Chron_production_1,Chron_production_2,Chron_arch_context_1,Chron_arch_context_2,XRF,XRD,RX-EDS,ID-TIMS,TIMS,ICP-MS,LA-ICP-MS,MC-ICP-MS,206Pb/204Pb,SD/ERROR,207Pb/204Pb,SD/ERROR1,208Pb/204Pb,SD/ERROR2,207Pb/206Pb,SD/ERROR3,208Pb/206Pb,SD/ERROR4,tmod,mu12,kappa12,Lab. Analysis,Reference archaeometric publication,Observations
PA25531,LEAD00001,1,Ribera de Cabanes,,Ribera de Cabanes,Ribera de Cabanes,40.15326,0.16078,Castello,Spain,Cartagena-Mazarron,,37.65241,-0.99888,,Lead,Ingot,discoidal plane-convex A1,,Iberian,,,-700,-200,,,,,,,,X,18.7339,0.0009,15.696,0.0008,39.0492,0.0022,0.83784,0.0001,2.08441,0.0022,,,,,Aguilella & Montero 2018: 123-130,
"RT25, L126, S22",LEAD00002,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,Mixed leads,,,,,Lead,Slag / Melting waste,,,Phoenician,,,-200,-100,X,X,X,,,,,X,18.3047,,15.6434,,38.4114,,0.8546,,2.0984,,321,9.17,0.83,Ibercron,Anguilano 2012: 1-311,
"RT25, L101, S35",LEAD00003,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,Mixed leads,,,,,Lead,Slag / Melting waste,,,Phoenician,,,-200,-100,X,X,X,,,,,X,18.2252,,15.6295,,38.3303,,0.8576,,2.1031,,354,9.08,0.84,Ibercron,Anguilano 2012: 1-311,
"RT25, L101, S39",LEAD00004,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,Mixed leads,,,,,Lead,Slag / Melting waste,,,Phoenician,,,-200,-100,X,X,X,,,,,X,18.334,,15.6484,,38.4481,,0.8535,,2.0971,,308,9.2,0.83,Ibercron,Anguilano 2012: 1-311,
"RT25, L101, S5",LEAD00005,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,Mixed leads,,,,,Lead,Slag / Melting waste,,,Phoenician,,,-200,-100,X,X,X,,,,,X,18.393,,15.6526,,38.5314,,0.851,,2.0949,,272,9.27,0.83,Ibercron,Anguilano 2012: 1-311,
"RT25, L101, S16",LEAD00006,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,Mixed leads,,,,,Lead,Slag / Melting waste,,,Phoenician,,,-200,-100,X,X,X,,,,,X,18.422,,15.6547,,38.5719,,0.8498,,2.0938,,255,9.3,0.83,Ibercron,Anguilano 2012: 1-311,
"RT25, L115, S55",LEAD00007,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,,Lead,Undefined object,,,Iberian,,,-300,-200,X,X,X,,,,,X,18.3485,,15.6769,,38.538,,0.8544,,2.1003,,351,9.23,0.84,Ibercron,Anguilano 2012: 1-311,
"RT25, L115, S56",LEAD00008,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,,Litharge,Archaeological litharge,,,Iberian,,,-300,-200,X,X,X,,,,,X,18.3397,,15.6675,,38.5164,,0.8543,,2.1002,,340,9.22,0.84,Ibercron,Anguilano 2012: 1-311,
"RT25, L2, S75rtm",LEAD00009,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,,Lead,Undefined object,,,Roman Republic,,,-200,0,X,X,X,,,,,X,18.1919,,15.6336,,38.2366,,0.8594,,2.1018,,386,9.04,0.84,Ibercron,Anguilano 2012: 1-311,
"RT25, L3, S74rtm",LEAD00010,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,,Lead,Undefined object,,,Roman Republic,,,-200,0,X,X,X,,,,,X,18.2029,,15.6258,,38.2531,,0.8584,,2.1015,,363,9.05,0.84,Ibercron,Anguilano 2012: 1-311,
"RT25, L3, S86rtm",LEAD00011,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,Galena,Lead,Undefined object,,,Roman Republic,,,-200,0,X,X,X,,,,,X,18.1831,,15.6277,,38.2189,,0.8595,,2.1019,,382,9.03,0.84,Ibercron,Anguilano 2012: 1-311,
"RT25, L3, S85rtm",LEAD00012,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,,Lead,Undefined object,,,Roman Republic,,,-200,0,X,X,X,,,,,X,18.391,,15.6619,,38.5569,,0.8516,,2.0965,,291,9.27,0.83,Ibercron,Anguilano 2012: 1-311,
"RT25, L31, S7",LEAD00013,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,,Lead,Undefined object,,,Roman Republic,,,-200,0,X,X,X,,,,,X,18.2027,,15.6306,,38.2461,,0.8587,,2.1011,,372,9.05,0.84,Ibercron,Anguilano 2012: 1-311,
"RT25, L31, S18",LEAD00014,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,Galena,Lead,Undefined object,,,Roman Republic,,,-200,0,X,X,X,,,,,X,18.3331,,15.6536,,38.4505,,0.8538,,2.0973,,319,9.21,0.83,Ibercron,Anguilano 2012: 1-311,
"RT25, L31, S19",LEAD00015,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,Galena,Lead,Undefined object,,,Roman Republic,,,-200,0,X,X,X,,,,,X,18.3698,,15.6591,,38.5121,,0.8524,,2.0965,,302,9.25,0.83,Ibercron,Anguilano 2012: 1-311,
"RT25, L31, S83rtm",LEAD00016,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,Galena,Lead,Undefined object,,,Roman Republic,,,-200,0,X,X,X,,,,,X,18.2017,,15.6322,,38.2503,,0.8588,,2.1015,,376,9.05,0.84,Ibercron,Anguilano 2012: 1-311,
"RT25, L114, S84",LEAD00017,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,Galena,Lead,Undefined object,,,Roman Republic,,,-200,0,X,X,X,,,,,X,18.3918,,15.6522,,38.5282,,0.851,,2.0949,,272,9.27,0.83,Ibercron,Anguilano 2012: 1-311,
"RT25,L52,S79rtm",LEAD00018,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,Galena,Lead,Undefined object,,,Roman Republic,,,-200,0,X,X,X,,,,,X,18.4314,,15.6541,,38.5757,,0.8493,,2.0929,,247,9.31,0.83,Ibercron,Anguilano 2012: 1-311,
"RT25, L55, S82rtm",LEAD00019,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,,Lead,Undefined object,,,Roman Republic,,,-200,0,X,X,X,,,,,X,18.4108,,15.6539,,38.5552,,0.8503,,2.0942,,262,9.29,0.83,Ibercron,Anguilano 2012: 1-311,
"RT25,L52, S1",LEAD00020,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,Galena,Lead,Undefined object,,,Roman Republic,,,-200,0,X,X,X,,,,,X,18.4226,,15.6576,,38.5712,,0.8499,,2.0937,,260,9.3,0.83,Ibercron,Anguilano 2012: 1-311,
"RT25,L52, S2",LEAD00021,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,Galena,Lead,Undefined object,,,Roman Republic,,,-200,0,X,X,X,,,,,X,18.4193,,15.6646,,38.587,,0.8504,,2.0949,,276,9.3,0.83,Ibercron,Anguilano 2012: 1-311,
"RT25,L52, S3",LEAD00022,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,,Lead,Undefined object,,,Roman Republic,,,-200,0,X,X,X,,,,,X,18.386,,15.6596,,38.5382,,0.8517,,2.0961,,291,9.27,0.83,ï»¿Laboratorio de EspectometrÃ­a de Masas LIMS de Verbania,Anguilano 2012: 1-311,
"RT25,L52, S4",LEAD00023,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,,Lead,Undefined object,,,Roman Republic,,,-200,0,X,X,X,,,,,X,18.3762,,15.655,,38.5119,,0.8519,,2.0957,,289,9.25,0.83,ï»¿Laboratorio de EspectometrÃ­a de Masas LIMS de Verbania,Anguilano 2012: 1-311,
"RT25,L52, S17",LEAD00024,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,,Lead,Undefined object,,,Roman Republic,,,-200,0,X,X,X,,,,,X,18.434,,15.6567,,38.5868,,0.8493,,2.0932,,250,9.32,0.83,ï»¿Laboratorio de EspectometrÃ­a de Masas LIMS de Verbania,Anguilano 2012: 1-311,
"RT25, L72, S72rtm",LEAD00025,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,,Lead,Undefined object,,,Roman Republic,,,-200,0,X,X,X,,,,,X,18.2714,,15.639,,38.3467,,0.8559,,2.0987,,337,9.13,0.83,ï»¿Laboratorio de EspectometrÃ­a de Masas LIMS de Verbania,Anguilano 2012: 1-311,
"RT25, L87, S77rtm",LEAD00026,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,,Lead,Undefined object,,,Roman Republic,,,-200,0,X,X,X,,,,,X,18.1925,,15.6301,,38.2328,,0.8591,,2.1016,,379,9.04,0.84,ï»¿Laboratorio de EspectometrÃ­a de Masas LIMS de Verbania,Anguilano 2012: 1-311,
