,event,cleandiscipline_new,itype,gendersquash,cleantarget_new,perpetrator_new,story_word_count
0,"1) two men drew a stick figure of me with boobs on the chalkboard behind the projector screen for me to find before my class began. 
2) man told me he’d had an inappropriate dream about me. 
3) man who started my subfield made inappropriate comments about my appearance at a conference
4) continuous comments about how much my dowry would be in a third world country by field team made up all men. ",Humanities,Multiple,Male,Graduate Student,Graduate Student,74
1,"When I was a student in his class, his touching (during class) progressed from a light touch on the shoulder to rubbing both shoulders and touching my neck. My boyfriend was also in the class and was incensed at his behavior. When I read with him for my dissertation, an older female student warned me that he needed to ""break"" his female students by making them cry and that, once I did, everything would be fine. He used harsh words and criticism during our study sessions together (but never touched me). I did not cry. During my general exam he berated me to such an extent that I expected to fail (I passed).",Humanities,Elite Institution,Male,Graduate Student,Faculty,113
2,"The same person groped me while we were doing fieldwork, made explicitly sexual comments to me at work, often made implicitly sexual comments in many contexts. Years later, I learned from close friends that they had the same things happen to them, by the same perpetrator. The perpetrator is still employed by the old university, with no reports made against them, as far as I know.",Natural sciences,Research Institute,Male,Graduate Student,Graduate Student,66
3,"A mentor paid ambiguous and uncomfortable amount of time and energy on me that felt like (but was never articulated) a bid for a relationship. I worked for him as a teaching and research assistant. In thanks for my hard work, he took me out to dinner at a restaurant well beyond my means. As a private pilot, he also, for ostensibly other reasons, took me out for a day in his plane. I was too young to know how to decline or to determine whether I was making too much of his advances. I was quite alright, in the end. He never forced the issue and remained supportive of my work and career until his death. It was less of a physical attack and more of an emotional toll too heavy for a young academic worrying about her career, her status, appropriate responses, image in the department, real motivations, etc. In context, this mentor was a serial husband. He had 7 marriages by the time he died. I am quite unscathed, in the long run, and he was a very good mentor otherwise. But, I learned a lot that has prevented me from being in situations that would have likely turned out quite worse.",Humanities,Research Institute,Male,Graduate Student,Graduate Student,205
4,"Would go around to women in the program and ask them sexual explicit questions for a “survey” such as “When you give a blow job, do you lick the balls?” Would also publicly show off naked pictures of women who allegedly sent these images to him, all while being in a shared office space where other female collugues could see and hear him. Would loudly refer to women as “gutter sluts” and openly mocked women and minority members. Ranked women in the program by “sexual appeal” and let it be know who he would ranked the highest. Would also loudly make claims women and minority students had an easier  time getting into PhD programs due to the “sympathy vote.”  All this and more place in just out Fall semester of 2015. ", Social sciences,Other Type of School,Male,Graduate Student,Graduate Student,134
5,"I started taking college classes when I was 12. My Algebra II professor repeatedly stopped class to tell me that I looked like Sandra Bullock. I wore a hijab one day for a class project about multiculturalism for the class before Algebra II. He stopped class to tell me that I could be ""one of bin-Laden's wives"" and asked the class if they agreed. ",Humanities,Other Type of School,Male,Undergraduate Student,Faculty,65
6,"A professor requested my friendship on Facebook when I was in his class. He also requested the friendship of another young woman in the class and nobody else. He posted on our walls suggestively. He showed up at her work when she was bartending a propositioned her for sex. He told me he no longer has sex with his wife. He texted her his room number at a conference. I told my ""feminist professor"" about this and she just told him about it and he made fun of me for complaining. ",Humanities,Research Institute,Male,Graduate Student,Faculty,92
7,"I was sexually assaulted by a subject during my RA research. I had previously spoken with my PI for several months about safety concerns due to the subject population, working alone with subjects, and isolated study sites. Once I returned back to the lab, still bloody and bruised, I told my PI what happened; he dismissed the incident and belittled me. ",Natural sciences,Research Institute,Male,Graduate Student,Graduate Student,62
8,"This all occurred in one department over approximately two decades:
1. A fellow faculty member had an affair with a married graduate student in the department, the student's marriage subsequently ended and eventually the relationship between the student and faculty member ended. The faculty member and student openly attended school functions and faculty gatherings together. This faculty member later began a relationship with a younger faculty colleague in the department.
2. Senior faculty member had affairs with two of their students which ended two of the faculty member's marriages.
3. Senior faculty member #2 had a relationship with their student and later married them on campus with some of the faculty member's current students performing at the wedding ceremony.
4. Junior faculty member had an affair with a graduate student in the department which ended the faculty member's marriage; faculty member later married this graduate student.
5. Junior faculty member #2 (roommates with faculty member in #4 above) had a relationship with one of their students.
6. Junior faculty member #3 had relationships with two different students enrolled in their courses.
7. Two other senior faculty were rumored to have had affairs with students; I did not personally witness these but found the accounts credible.
8. The author was sexually assaulted by a female colleague following a faculty gathering.",Humanities,Research Institute,Other,Faculty,Faculty,211
9,"After two major presentations to the board of trustees, at which males also presented, the VP of Academic Affairs (CAO) walked in front of the board of trustees and all in the room and learned down and gave me a big hug without asking and said great job sweetie.  This same response was not given to the men who presented at the very same meeting.",Natural sciences,Other Type of School,Male,Chair/Dean/Head,Chair/Dean/Head,66
