,event,cleandiscipline_new,itype,gendersquash,cleantarget_new,perpetrator_new,story_word_count
0,"I don't even know where to start, so many things happened when I was a graduate student. One professor made wildly inappropriate comments and discussions about his sexual past in class. Every class. He once asked me, when I came to class with a bruise on my face from falling off of my bike, ""What? Does your boyfriend beat you or something?"" (in front of the entire class). Another professor physically assaulted me by slapping my arm hard and grabbing it to get me off of a wheelchair ramp (I didn't realize it was a wheelchair ramp, and there wasn't a wheelchair user coming). He later screamed at me in front of undergraduate students. I had a male graduate student peer smack me on the backside with his backpack when were were standing in front of an entire lecture hall full of undergraduates. When I was an undergraduate a departmental admin. assistant started a rumor that I was sleeping with a male professor. Oh, I have also faced some  awful harassment from some male undergraduates, when I was a graduate student and again as a Visiting Assistant Professor.",Humanities,Multiple,Male,Graduate Student,Graduate Student,189
1,"In my third year of BA, almost immediately after my first supervision with my dissertation supervisor (Lecturer), he text me to ask if I wanted to meet in a hotel. Thinking this was a prank or he meant a hotel coffee shop I dropped by his office to ask what was going on. He told me he had meant casual sex in a hotel-he pointed out how successful women who had said yes had gone on to become, promised me a position on a work experience placement, promised me other perks if I said yes. I said no. That’s when the harassment started. It ranged from him attempting to kiss me during meetings, constant texts, lewd comments, bullying, personal comments, his screen saver blowing x’s (kisses) at me during class, him telling stories of historic occasions when someone said no (I knew the point he was making but the class was confused!), the contacts struggle to get feedback or support for my dissertation without having to be nice to him, be gentle, don’t rock the boat, say no without making him angry. It seems I wasn’t alone. Just as it had reached the point where I was in so deep and struggling a verbal memo was passed around the dept-anyone heard making allegations against this Lecturer would be suspended. This silenced me. I’ve onlybtold two people-my best friend during and my Husband.  I got through the year and then started my MA with a different supervisor. The harassment is some form continued and I was so disheartened and frustrated I tried to get through the course quickly and did not engage in post grad life within the dept. The Lecturer and I stayed in touch every now and then-mostly reference requests. When I decided to return to do a PhD he agreed to meet and discuss my options-I though I’m older, wiser, married so it’ll be different. It wasn’t-as soon as he realised I would continue to say no but that I was more confident in myself (plus I have a Husband built like The Rock!) he became really rude and personal. He told me that there was no point in me doing a PhD-I was too stupid, I should retrain (despite successfully working in the field between my MA and wanting to do a PhD), I would wouldn’t finish the PhD as I might have children or my husbands and might leave me. I held it together until I left-then I cried. I’m now about 6 months of submitting my PhD thesis-a wonderful experience with two supportive male supervisors. ", Social sciences,Elite Institution,Male,Undergraduate Student,Graduate Student,432
2,"As a woman who has been in a consensual relationship with a more senior male in my field, I think it important to note that this does happen. And while the relationship ended badly, I do not believe he has or will ever do anything to harm me professionally. (this is not to say that I would suggest such a relationship to a friend, nor is this intended to in any way minimize the horrible things that have happened to others)",Humanities,Elite Institution,Male,Graduate Student,Faculty,81
3,"I was walking down the hallway with my faculty mentor (male senior faculty) when we passed Prof. X, a male senior faculty member from another department.  Prof. X did not greet me, but greeted my mentor warmly, took his time ogling me up and down like a piece of meat, and told my mentor, ""Oh, I can see YOU'RE having a good day today.""  My mentor laughed and said indeed, he was.  Even though there was no touching, it felt humiliating to be sexually objectified by a colleague, and gross to be objectified in front of my mentor, especially because my mentor did not challenge his peer's behavior.", Social sciences,Regional College,Male,Faculty,Graduate Student,111
4,"Routine creepy comments by a colleague with whom I had just one innocuous conversation at a party. Subsequently told me (to my complete bafflement) that his wife had threatened to leave him because of me. Reconciled myself to gritting my teeth and getting past him politely whenever I ran into him, which was frequently; he and several cronies took up daily positions outside the campus coffee-shop to leer at female colleagues and students. For me (and for other junior colleagues from whom I've heard similar stories) it was an isolated incident, but I later discovered that this same person had been harrassing grad students, in at least two cases amounting to direct physical assault; the university came to some kind of settlement and he's now back teaching on campus, which is appalling.",Humanities,Research Institute,Male,Faculty,Graduate Student,132
5,"When I was an undergraduate, I took a class from a prominent Americanist. I would go to his office hours often, and I felt we had a good rapport. I admired him. Then at the end of the semester, he offered me a ride home. I was the last one to turn in my exam and it was snowing. I lived a mile away. He walked me to his car and then started telling me that he couldn't go through with ""it."" He had a wife and kids at home, he explained. I was floored. I assumed the car ride would be just a car ride. I felt ashamed that I may have led him on as well as naive. This happened around 2005.",Humanities,Research Institute,Male,Graduate Student,Faculty,124
6,"I was in a summer program and my roommate was a female high school senior. She left the program after a graduate student took her on a car ride, where he was driving and she couldn't get out, and told her about what he wanted in a wife and how lonely he was.  I reported his behavior and he then found me in a parking lot late at night when I was walking back to the dorm alone to yell at me and tell me I was ruining his career and how he hadn't done anything and threaten that if I didn't recant what I said I would regret it. When I didn't back down and was entirely ready to engage in a physical altercation, he stormed off instead.",Formal sciences,Elite Institution,Male,Graduate Student,Graduate Student,130
7,"Back in the late eighties at a state school, I had a professor run his fingers through my hair during an office hours meeting (I froze! Didn't know what to do, so unexpected. I was 19). Same school, same department (Theater), a professor, again during office hours, interrupted my question to ask my if I had a sun tan. Your legs look so nice and tan, he said. Ugh. Suffice to say, I transferred schools to study the same subject at another state school. ",Humanities,Research Institute,Male,Graduate Student,Undergraduate Student,85
8,"A male colleague in my department began inappropriate comments and touching the week I was hired as a full-time, tenure track professor.  When I asked him to stop, he became aggressive and hostile and verbally abused me in an extremely threatening and belligerent manner.  This continued for years until I finally filed an internal formal sexual harassment complaint against him.  Following that, although I technically ""won"" against him, I was subjected to retribution in numerous forms for the remainder of my employment at the college.  That went on for about 17 years.  My daily life was filled with incidents. My students were also subjected to problems as a result of his constant harassment of me.",Natural sciences,Regional College,Male,Faculty,Faculty,120
9,"Continually demeaned for being a woman; was told ""We only give full funding for men for all their years of study -- for women, we make them all pay the first year to prove they can cut it""; had all accomplishments unacknowledged or ""disbelieved"" (""but you don't *really* know that language, right?"" -- even though I had studied it for years); Chair touched his ding dong in front of a beloved female faculty member--who then resigned; Chair tried to sabotage PhD dissertation even though prestigious Ivy League postdoc had already been granted (female dean had to step in and make it clear to him his behavior was not appropriate & took the reins thank God)",Humanities,Elite Institution,Male,Graduate Student,Chair/Dean/Head,115
