,event,cleandiscipline_new,itype,gendersquash,cleantarget_new,perpetrator_new,story_word_count
0,"At a conference a friend of a friend continually put his hands on me (and somewhat aggressively texted things that were unwanted and in the above context, likewise were uncomfortable).  I spent an entire reception trying to get/keep his hand off the small of my back, and ate an entire dinner leaning far right out of my seat because he wouldn’t take his hand off of the back of my chair.",Humanities,Multiple,Male,Graduate Student,Faculty,72
1,"TA made uncomfortable sexual comments + asked invasive questions about my sex/love life, later pressuring me several times to go out with him (I refused). When I finally told him to stop all of this, he became hostile and later manipulated my final grade", Social sciences,Elite Institution,Male,Graduate Student,Graduate Student,44
2,"The first time I met the (esteemed, tenured) professor I was supposed to spend my PhD years working, he caressed my hand when when shook hands, and then made me sit close to him on his couch instead of in a chair across from his desk. I had been warned that he ""likes French women."" Over the past couple of years, I have seen him touch women without their consent on multiple occasions. He obviously gets a kick out of toeing the line between ""vaguely inappropriate"" and downright unacceptable. I have since changed my entire study focus in order to avoid working with him. Half of the department ignores his behavior or says he's ""just an old man,"" and the other half won't rally against him in fear of what he could do to our careers.",Humanities,Regional College,Male,Graduate Student,Faculty,136
3,"I was offered an A from a professor from France in return for sexual encounters while in the Language Institute at the University of Colorado, Boulder, Co in the summer of 1962",Humanities,Other Type of School,Other,Graduate Student,Faculty,32
4,"I was stroked / tested with unwanted touch on the thigh and threatened ""with war"" and with the wrath of professors I admired by a full (yet strangely underqualified) professor when I questioned a timeline for a project. I was taken aback as I had not experienced being touched to demonstrate power and contempt before. I had just explained that I could not do a last minute / haphazard assignment because needed to go to a memorial service after a year of deaths in my family (in retrospect I was also clearly reeling after an emotionally difficult year and after leaving family and my partner). I was new to the country and the department, knew almost no one in the time zone, and was operating all but entirely without a support network in a program that had comps in the first quarter of the first year. He verbally threatened me and suggested the new chair (whom I admired) would have problems with me and I should not be on her bad side--another threat. Indeed, after whatever he communicated to her she did not speak to me for more than six months and described him as her friend several times. I heard informally I was being 'trashed' by the associated personnel. I was a first year PhD student. I later heard my project, which moved outside university facilities, became infamous though I actually did it in order to be far away from him and from his colleagues. The rumor mill on that was also out of proportion, all within a male in crowd, and intentionally damaging to me. To my eternal appreciation, two male colleagues did defend me some years later and I began to talk fairly openly about it after graduation--that helped me heal and feel I had credibility again.",Humanities,Elite Institution,Male,Graduate Student,Graduate Student,300
5,"A group of male students wrote very sexually explicit course evaluations about me (specially about my body parts). There were about 4-5 of them in the same class that were on the same theme so it was likely a coordinated effort by the students. I told the senior people at the university what happened but I didn't make a formal report (I did not know that was a possibility). A dean said, ""if she dresses like that, what does she expect"" to a group of my colleagues, who reported it back to me. (not that it is relevant AT ALL but I dress veeeeery conservatively)", Social sciences,Regional College,Other,Graduate Student,Undergraduate Student,105
6,"Three different incidents in three different Canadian universities as I worked towards my doctorate in Englisht Language and Literature.  The first involved several approaches by a professor to join his ""groupies"" to share wine and literary discussion.  I believe one or more of my peers became his paramour and I was a distinct outsider for not joining in.  Their marks were quite high!
The second was more serious and involved being stalked by a professor in the department who made several attempts to get in to my apartment accompanied by compliments and then pleas to pursue a relationship and which was only stopped by threats of exposure by my fellow student and myself. Interestingly, while he was not one of my profs, his best friend gave me the lowest mark in the class (all my other marks were in the ""A"" range.)
The third incident may have cost me a position as an assistant professor when I  rejected the advances  of one of the professors on the hiring committee who had invited me into his office after the interview.   This included removing his hand from my knee.",Humanities,Multiple,Male,Graduate Student,Faculty,192
7,"Sexual harassment from a senior graduate student who was supposed to mentor/train me. He pressured me to have a sexual relationship with him. This pressure continued for months despite my repeated declarations that I was not interested. Unfortunately, despite my best judgment, I eventually gave in and started dating him. It quickly became evident that this was not a relationship that would work for me. He was emotionally abusive and unbearably narcissistic. I tried to break it off with him multiple times, but each time he made life at work a living hell, and eventually I would succumb to his advances just to quell the non-stop barrage of verbal and emotional abuse (although obviously it was still abuse to be coerced into a relationship like this). When I finally ended it for the last time, he of course made my life a living hell again at work...as I had feared. This was a problem because he was specializing in an analytical technique I needed for my research project and he was supposed to be mentoring me for that component of my research. But it wasn't just that he refused to help me. He took it a step further and was a cruel bully to me in the workplace. For example, he regularly told me I wasn't smart enough for the program. Any time I had a question, any time I made a small mistake, sometimes out of the blue for no reason at all. He would remind me of my inferiority. He even went as far as to spread horrible rumors about me to other graduate students in our program. Some of the rumors were sexual in nature. Others were about my ""incompetence"" in our field. These rumors socially isolated me from the rest of the group. ",Applied science,Research Institute,Male,Graduate Student,Graduate Student,298
8,"My good friend was a physics major at a state university in California which was quite rare in the 1980's. She was doing undergrad research in the lab of the Physics chair. Chair began touching my friend casually from the day she started working in his lab. He spent more and more time in the lab that coincided with her hours.  Within a couple of months, Chair was physically trapping my friend behind lab benches and in corners. He continually made sexually suggestive comments to her. The touching advanced to 'accidental' brushes against her breasts and laying his hand on her behind. I encouraged my friend to go to the dean of physical sciences. She did. Thus began a humiliating experience with the male dean insisting that she bring in witnesses to the abuse. She did. Every one of the other students and the lab assistant were male. They witnessed many of these incidents and never interceded. Still, they did support her claims that Chair did single out my friend and most had seen him touch her inappropriately. The dean had no choice but to discipline Chair and the decision was to remove him as chair of the physics department. The dean told my friend she should avoid Chair. She had already withdrawn from working in the lab. In fact, there was no way for her to avoid Chair since he taught all of the upper level courses she needed to complete her degree. My friend changed her major to accounting and shut the door on her love of physical science. Because a man insisted on viewing a female student as a sex object, we lost a budding female physicist. We still talk about what could have been. My friend carries a great sadness.",Natural sciences,Other Type of School,Male,Graduate Student,Chair/Dean/Head,295
9,"I've been harassed and propositioned by both female and male colleagues. I've continually witnessed how senior male academics treat their junior and female colleagues, both in their objectification and in 'mansplaining' to them. I've seen women in academia change institutions to get away from the male dominance of power; which in some instances involved changing into disciplines that are more female-driven. I had to put in two separate and formal sexual harassment claims within my first two years at the same institution. I've seen male academics respect the mind of a female academic, but who have disrespectfully in turn attempted to desire her body as well. I've heard/seen countless tales of supervisor-student affairs, predominately when the supervisor is male and the student female. ",Applied science,Research Institute,Other,Graduate Student,Graduate Student,124
