,event,cleandiscipline_new,itype,gendersquash,cleantarget_new,perpetrator_new,story_word_count
0,"I was meeting a professor whith whom I studied Islamic Philosophy when he was visiting Hopkins. There isn't any specialist of Islamic Philosophy at Hopkins so he became my recommender. We kept meeting every year and I would send him papers that he read very carefully and gave me great feedbacks. Then the last time we were supposed to meet, at Harvard after his conference (he lives in Israel so I thought I could make the trip to Boston, and I thought we we had become ""friend"" by then...he's around 75 years old so I trusted him) he suggested by email to meet him in his room because he ""had breakfast"" and that I could bring my bathing suit to take advantage of the hot tub.",Humanities,Multiple,Male,Graduate Student,Faculty,126
1,"Prof had class do an voice over exercise where the point was to speak from the diaphragm. He proceeded to wrap his arms around only the female students to check we were doing it correctly, groping at our waists. A week later, an exchange student from Denmark told me the professor had told him Danish women were the prettiest and invited her to his house for dinner.",Humanities,Other Type of School,Male,Graduate Student,Faculty,67
2,"The person doing the language checking of my ms left inappropriate comments in the margin - which I of course had to read, since they could not be differentiated from the valid comments except by reading them.",Humanities,Other Type of School,Male,Graduate Student,Graduate Student,37
3,"I was propositioned by my graduate advisor than harassed repeatedly by him when I turned him down, including threats to my career. He also accused me of being a narcissist who couldn't feel feelings because I did not reciprocate his love and/or accept his apology. The department basically did nothing.",Humanities,Other Type of School,Male,Graduate Student,Graduate Student,50
4,"I was taking a French class and I was totally lost so I would always ask my professor for help. We would joke about pronunciations and grammar I would get wrong, but nothing ever outside the topic of French. After a few times talking to him, I guess he felt comfortable enough to tell me how another female student had reported him for sexual harassment. I listened but thought nothing of it, other than him just venting. Later, I was the last one to finish taking a test and I would always chew gum and blow bubbles when I would take tests; he told me he liked how I ""did that thing"" with the gum and it made my mouth look good, and how if I kept doing it, I would have no trouble from other male professors giving me good grades. I laughed nervously and left, never asking him for help again. ",Humanities,Other Type of School,Male,Undergraduate Student,Faculty,154
5,"A senior scholar whose work I greatly admired and who was like a grandfather mentor to me and my research team colleagues visited our campus. He was in his early 80's at the time, I was in my late 20's. The head of our research team, my mentor, hosted a dinner party for him with the students, and we enjoyed great food and liquor as we had very very profound theoretical conversation.  I was asked by my then mentor to drive him back to his hotel and when we arrived, he invited me up to his room for another drink and to talk about my work (so I thought).  We got up there, he indicated I should sit on the two-seat couch and he made me a drink and sat next to me on the couch although there was another chair. He then said, ""I want you to kiss me.""  I was so shocked and I wasn't fully processing what he was really doing. I didn't know what to do and he started moving towards me, so I compromised and gave him a quick kiss on the cheek (like in Latino culture), as I stood up, grabbed my coat, and headed for the door. I got out of there as quickly as I could.  I called my mentor and told her what happened.  She said, ""Damn, we thought because you were [my racial identity] that he wouldn't come on to you.  Guess not."" She knew he did this. He had done it to all the other women on the research team. I had no idea.  ", Social sciences,Other Type of School,Male,Graduate Student,Graduate Student,273
6,"As an one of five female undergrads working at a remote field camp one summer, I dealt with a bunch of behavior from one of the two senior (male) PIs that made me very uncomfortable. The PI in question encouraged heavy drinking among all at the camp, and would give the women in the camp shoulder rubs, unsolicited hugs, etc. He was very charismatic, so at the time it was possible to laugh it all off, but it never felt quite right. There were about 15 of us in total at the camp, and we slept in one big bunk room. I can remember him sometimes coming into the bunk room late, leaning over my bunk (when I seemed to be asleep), and giving me a ‘goodnight kiss’. Blech. He also regularly made inappropriate, misogynistic statements  (“I don’t know why women have children - their asses never look the same again”). This was my first field job as an ecology student. The other senior PI (also male) turned a blind eye to this behaviour (he was very “focused on his science”). The grad students/other research associates at the camp went along with the atmosphere created by the first PI, no doubt because they were also walking a fine line between being in his good vs. bad books.",Natural sciences,Other Type of School,Male,Graduate Student,Graduate Student,218
7,"In mid 2000s, I got invited to the on-campus apartment of a professor with the promise of meeting two huge scientists in my field (all male, of course). Professor was drugged and drunk and proceeded to grope me right in front of the senior scientists that I was trying to talk research with. They more or less ignored me and pretended not to notice the groping. When I extracted myself from that professor (and he fell asleep on the couch), the other scientists decided to leave but insisted I should stay ... which I didn't.
The professor started calling me later that night, insisting I needed to come back because he ""needed me there"". Next day he left roses on my desk with a note ""Sorry"" ... written on the back of a page of my research notes. It took that level of disrespect for my space and research work to notice that the whole thing had been inappropriate all along.
I talked to the only somewhat senior female scientist I knew at that time - who advised me to never, ever, mention this incident to anyone.",Formal sciences,Other Type of School,Male,Graduate Student,Graduate Student,185
8,"A professor from another department and I had decided to co-edit a book together about food. It didn’t strike me as odd that we would talk about the book over dinner - it was a food studies book and dining was part of the research. At dinner he proceeded to drink a bottle of wine (I had one by-the-glass serving and refused to join him in the bottle). He put his hand on my leg; I moved it. This repeated many times, maybe ten. He tried to hold my hand as we left the restaurant. Invited me back to his place because his wife and child were away. I refused. Said I had to get my bike from my office which took me back into a building on campus. He decided to come with me. Tried to kiss me. I was so freaked out that I decided to skip trying to bike in Manhattan and just get a cab. He followed me out and when a cab stopped for me, he tried to push me and himself in. I braved myself against the doorframe and pushed him off. The next morning he emailed to say he had a great time and we should do it again. Years later I filed a report against him. The only reprimand that the EOE office had for him was to stop drinking with individual students. He was extremely uncomfortable but relaxed when they recounted the details (a sign that he had done something worse with someone else, perhaps?). He said he wouldn’t be able to do his food studies job, be himself, without being able to drink with students. The EOE office agreed and suggested he be more careful when drinking with individual students. That’s where it ended. Needless to say, I never got to co-edit that book with him which would have helped my career.", Social sciences,Other Type of School,Male,Graduate Student,Faculty,312
9,"Circa 2000-2002: A graduate TA put me on the bar at the meeting place of the German Stammtisch club, and inserted his fingers into my vagina. The bar was closing, I was somewhat inebriated, and yet I don't understand how he got away with this. There were other students there; they seemed to think it was funny.",Humanities,Other Type of School,Other,Graduate Student,Graduate Student,57
