,index,event,target,cleantarget,perpetrator,perpgender,gendersquash,cleandiscipline,itype,cleantarget_new,perpetrator_new,cleandiscipline_new
0,135,"Propositioned for sex by my current professor in undergraduate writing course. Propositioned for sex by my MA thesis advisor after the defense. Propositioned and harassed by emeritus professor while I worked alone in his home during PhD study. Sexually harassed by supervisor while working as a technology fellow during PhD study. Discovered that my sexual activities in my home had been shared with the rest of the faculty by a neighbor faculty member. In all cases, I spoke directly to the person myself and asked them to stop. In the case of the emeritus professor, I had to also ask my graduate department chair to intervene. Incidents occurred 2000-2014.","Undergrad, MA, PhD student, professor","Undergrad, MA, PhD student, professor","My professor, former professor, emeritus professor, supervisor, colleague",Male,Male,English,Multiple,Graduate Student,Faculty,Humanities
1,232,Senior women were completely marginalized,Full professor,Full Professor,Younger associate and just.newly tenured professor,Male,Male,Chemistry,Research Institute,Faculty,Faculty,Natural sciences
2,1655,I had this professor for a lab course and he on multiple occasions would comment on how good I looked in a dress.,undergraduate,Undergraduate,tenured professor,Male,Male,Astronomy,Regional College,Graduate Student,Faculty,Natural sciences
3,288,"About six years ago, I noticed that one of my professors treated me somewhat dismissively  in comparison to his treatment of other students.  I did not know why.  I ended up participating in a mixed work and service trip led by this professor because it was in my area of professional interest and I was very eager for the experience.  There, in conversation with this professor about how I could improve, he said that what was wrong with me is that I had no vices and encouraged me to attend after-hours social events with other students.  I did, and the professor would approach me and whisper to me, out of earshot of others, things like, ""Are you turned on right now?"" and ""I bet you're turned on under those clothes.""  I consistently shut it down over a series of nights out.  Later, the professor ""forgot"" to write a recommendation for me based on the work I did during that trip.",I was a student,I Was A Student,"The perpetrator was a professor, the organizer of this work/service trip, and departmental chair",Male,Male,Law,Other Type of School,Undergraduate Student,Chair/Dean/Head,Humanities
4,643,"In seeking a meeting regarding why my department decided to no longer support my PhD scholarship application (despite strongly stating they would), I was invited to meet with the Director. I was sat on his couch and told how “us girls” would be taken care of. He proceeded to place he arm across my shoulders and lean into my body. Told me that I didn’t have to worry, that it would all work out. I gave clear signals and kept moving away. Months later after my PhD scholarship was approved (at university level as I was top graduate for my year), I was invited to coffee on campus by my boss and colleague of my PhD supervisor and the director of the dept. and told that I dressed provactively: that my doing so “won’t work” with my supervisor as he is gay. I was told that I need to stop using my femininity to get places: it worked in the past, but won’t work now. Told to stop smiling so much and not to flirt. She went on to discuss my sexual behaviour tactics and how I could adjust them to be “more professional”. Although this meeting could be construed as more of a sexual discrimination act, it was part of a dept wide approach to females. Too many incidents to list. Not one of the female PhD candidates of our year finished there. Not one. ", PhD student and employee, Phd Student And Employee,Director of department and work boss,Various incidents with people of different genders,Other,Political Science,Elite Institution,Graduate Student,Chair/Dean/Head, Social sciences
5,2336,"Conversations when dropping by office or in hallway that moved into sexualized talk (reports of visits to strip clubs when traveling on university business, spending $$$ for private shows, ‘how will I explain the CC bill to my wife?’); one instance (with me) of wearing pajamas to annual Halloween staff lunch (wearing costume was optional, most 20 or so staff wore holiday sweaters if in costume at all), physically much closer to me for my comfort, at one point ‘adjusting’ my holiday sweater from behind. I move again and again, eventually just gave up and left. Several other instances of lack of respect for boundaries (physical) and sexualized comments. All these occurred to me (and more), and all began within 6 months of his arrival. Later I discovered that at least 5 other women staff have had similar experiences, and some have made formal complaints to HR. ",Staff,Staff,Dean,Man,Other,Education;Human Services,Research Institute,Staff,Chair/Dean/Head, Social sciences
6,939,"As a PhD student, I found myself mired in icky ambiguously sexual circumstances with 2 different professors. The least awful was a professor who held his final seminar session in a bar over pitchers of beer & then invited me to for a bite to eat afterward. I hoped we were going to talk about my project &  thought surely he meant we'd grab a burger or some quick Thai food. But then he walked me into an expensive white table cloth restaurant and proceeded to order appetizers and wine and all these things he surely knew I could not afford. So reluctantly and awkwardly I let him pay, which made me feel crazy. After, he casually said let's go to my place to finish talking about your paper & I really really really wanted to go home but didn't know how to say that and felt so strange about having been treated to such an expensive meal. It sounds insane but I couldn't figure out how to get out of this night with him. It was all so confusing b/c in class he talked all the time about his kids and wife (""my wife"" and never by name. She was a fairly visible feminist & in hind sight, I see that he leveraged her feminism all the time to position himself as a feminist. UGH.) Anyway, I felt terribly embarrassed to be taking this as a date when he had made himself out to be such a family man & felt confused about how to extract myself, especially because I was still hoping for help in publishing the essay I had written for his seminar and that I cared so passionately about. That was icky but it was only 1 seminar and 1 grade at stake. More shattering was the next year when I was promoted from graduate teaching assistant to the prized fellowship everyone wanted - assistant editor to a very prestigious journal. The editor, my boss and a leading feminist, was both gate-keeper in my field and now boss of my graduate fellowship. She held in hand, then, both my immediate daily survival and the keys to my future, a future I had leveraged with considerable student loans. Although my fellowship contract obligated me to provide 20 hours a week of editing work, my boss expanded the duties to include coordinating dry cleaning, car repairs, credit card disputes, out-out-town fee-based speaking engagements and travel plans, etc. I wasn't allowed to go home for winter break b/c it was time to copy edit the galleys. This makes no sense b/c the journal was published in Baltimore by Johns Hopkins & we were editing on the west coast. So what did it matter where I finished the galleys? My boss never looked at the articles after the initial content editing was done anyway so it's not like we needed to collaborate. What I'm trying to explain is how I felt a little imprisoned, almost indentured. Sexual harassment was the cherry on top of this toxic covenant. I felt uncomfortable all the time & started wearing baggy clothing, which my boss hated. One time in front of my peers, she mocked the overalls I was wearing, exclaiming, ""I can fit a fist in your pants"" and then proceeded to shove not 1 but 2 fists into my crouch, right there in front of everyone. Another time at a conference, after I had just presented my paper and people were swarming to congratulate and ask me questions, she interrupted everything to spank me, right there in front of my peers and prospective future employers. I was mortified and I swear my brain stayed frozen for many days after that incident. I was so stuck and had sacrificed everything for this opportunity to study so I thought I had to accept the behavior. I thought I was managing but was so surprised each morning to discover that my pillow was wet. I lived in a crappy apartment so naturally I looked for a ceiling leak that might be the source of the wet pillow. Honestly, I really thought it was caused by an environmental leak until I finally realized my pillow was soggy from the salt tears I had been weeping in my sleep. I guess my conscious hours were so completely indentured that the only time I could cry was during sleep. I was trapped in a viciously competitive environment and so we students carefully guarded our secrets from each other. (Tragically, then, we didn't support each other or warn one other of possible hazards.) For this reason, I suspect but can not confirm that at least 2 other women in my program also may have experienced sexual coercion and harassment. One of them may have been in an even more precarious position than me b/c she was on a student visa and needed this professor's support to maintain her visa status.  
I completed my degree because I’m not a “quitter.” But I never asked for a letter of recommendation and I never once checked to see what jobs might be available in my field. All I could do was flee the entire sphere of influence. I paid off my student loans by working in a field unrelated to my training and in fact one for which a college degree is entirely unnecessary. I maintain that the abuse changed the course of my life, a fact about which I am still bitter.
I’m telling you this now for several reasons.
1. I’m tired of holding it in my body and am ready to release this bitterness.
2. I believe that young students are vulnerable and should be entitled to a safe place in which to complete their educations.
3. College & graduate students are impressionable; the reality is that they are being cultivated as future workers & bosses in every sector of our economy. In this way, sexual misconduct on our campuses contributes to and perpetuates an insidious culture of harassment which spreads throughout the entire economy. For this reason, campus abuse has the potential to harm all workers, not just college students and graduates. 
4. Although I am grateful for my education and believe that you can never foreclose on the knowledge and thinking skills I carry in my head, technically I don’t use my education because I felt too traumatized to pursue the career I studied. 
5. My education was partially funded with public dollars which subsidized my graduate fellowship and student loans. One could argue this public investment was wasted because I never attempted to work in the field for which I trained. If you buy my statement that I was deterred by systematic abuse, that is an egregious betrayal of the public trust & resources. 
",I was a PhD student. ,I Was A Phd Student. ,"My perpetrators were tenured professors. As indicated, one was my teacher for only a single seminar & in a different department, so it wasn't quite as shattering as the abuse by the person governing my fellowship & keeping watch at the gates of the field I hoped to enter. ",Various incidents with people of different genders,Other,American Studies,Research Institute,Graduate Student,Faculty,Humanities
7,767,"Over the course of five years, my main advising professor exhibited manipulative and isolating behaviors and possessiveness. He made frequent and unsolicited comments about my appearance. He engaged in unlimited gossip about his colleagues both in our shared institution and beyond, as well as gossiped to me about my own colleagues. He would compare me to his other students (my colleagues) so that I knew I was 'special' to him. He made professions of love to me and identified as my 'father figure.' He inquired into my romantic life and upbringing. He made professions of love to me and then when I attempted to hold him accountable to some of the behaviors that had crossed boundaries, he abdicated responsibility and asserted he had done nothing wrong but only loved me. This culminated in the academic year 2016-2017.",an undergraduate and then a master's student,an undergraduate and then a master's student,faculty member and then main advisor,Male,Male,History Of Science,Research Institute,Graduate Student,Graduate Student,Humanities
8,2082,"2007, my academic advisor, in a closed door meeting, sat on the edge of his desk, invaded my personal space, and grabbed my ankle. He then said I was very pretty and asked if I wanted to take off my clothes. I refused and told him he was making me uncomfortable. He shrugged and tried to kiss me and when I pulled away, he laughed and sat back in his chair. He then started to justify he proposition saying he’s done things with students in the past and when I expressed disappointment for disrespecting his marriage and my relationship status he said that he and his wife have an understanding. I repeated that I wasn’t interested and left his office. He later sent me apologetic emails which I deleted, feeling ashamed and confused. I obsessed about whether I had lead him on or talked about inappropriate things that made him think I was receptive. I told a friend, who told me I was over reacting. I constantly wondered if the A I had received in his class was due to the fact that he wanted to sleep with me and not my developing skill in the subject. Aware of his tenured status in the department, I decided the following semester to change my major and never took another class in his department. Of note, two years later, that same friend who dismissed my concerns, was propositioned by the same professor and finally validated my experience. She and another student who had had similar experiences (being cornered and asked for sexual activity by this professor) went to a female professor in the department and with her guidance, the three of us reported our experiences to the Dean of the college. We were made to recount the experiences and told that they would take it from there. If any institutional action was taken, it was unknown to us and the professor is still teaching and probably still harassing his vulnerable female students.",First year in college,First Year In College,"Tenured full professor, my academic advisor and lecturer for my intro course",Male,Male,Medicine,Elite Institution,Undergraduate Student,Faculty,Applied science
9,1024,"I experienced several interactions with my boss/supervisor as harrassment. On one of our conference trips, he said good night to me by touching my hip and giving me a kiss on the cheek. During another trip, I was staying in one appartment with him and other colleagues. We had separate rooms but shared a bathroom. One night when I came out of the bathroom, he was standing there only in a tshirt and his boxershorts. I just said good night and went to my room. 
Another colleague of mine  (same job position) once told me about the following incident that happened to her: Because he had taken over some work for her, she said that she owed him something. Then he said that he could think of something but this would be inappropriate. 
He often commented on our outfits (one colleague was asked why she did not wear skirts) and told us to use ""our charme"" for achieving some things, e.g. when doing interviews. This all happened between 2011 and 2014.","I was a PhD student and employed by the Political Science department at my university. The person in question was my boss, my PhD supervisor and examiner. The position was temporary and I had many different contracts. Although I was always promised the extension of my contract, it was never done at once and I was unsure how much conflict I could risk. Further, he graded my PhD.","I was a PhD student and employed by the Political Science department at my university. The person in question was my boss, my PhD supervisor and examiner. The position was temporary and I had many different contracts. Although I was always promised the extension of my contract, it was never done at once and I was unsure how much conflict I could risk. Further, he graded my PhD.","He was full professor, he was my supervisor and the examiner of my PhD thesis.",Male,Male,Political Science,Research Institute,Graduate Student,Graduate Student, Social sciences
