,event,cleandiscipline_new,itype,gendersquash,cleantarget_new,perpetrator_new,story_word_count
0,"Propositioned for sex by my current professor in undergraduate writing course. Propositioned for sex by my MA thesis advisor after the defense. Propositioned and harassed by emeritus professor while I worked alone in his home during PhD study. Sexually harassed by supervisor while working as a technology fellow during PhD study. Discovered that my sexual activities in my home had been shared with the rest of the faculty by a neighbor faculty member. In all cases, I spoke directly to the person myself and asked them to stop. In the case of the emeritus professor, I had to also ask my graduate department chair to intervene. Incidents occurred 2000-2014.",Humanities,Multiple,Male,Graduate Student,Faculty,109
1,"Advisor made inappropriate remarks that escalated into blatant propositioning, implicit threats, pressure to engage in a romantic relationship, and sexual touching", Social sciences,Research Institute,Male,Graduate Student,Faculty,21
2,"A prominent scholar/teacher used to get very drunk with her students and at a department party at bar, forced her tongue into a students mouth. We all--students, and probably faculty--saw it, but no one (that I know of) reported it. ",Humanities,Other Type of School,Female,Graduate Student,Faculty,41
3,"I was hired to work as a post-doc with the head of the department. Several people had warned me against working with her, but I have worked with difficult people before so I brushed their warnings off. She asked me pointed questions about my husband and child during the interview, and when I clearly reacted like that was inappropriate, she laughed and said, ""Oh, I know I'm not supposed to ask, but we have *such* a family-friendly atmosphere here that I just want to let you know that you'd be welcome."" When I showed up for work, visibly pregnant, she looked me up and down slowly and scowled, and began to ""talk around me"", not to me. When I met with her that week to discuss work goals, she told me I was ""stupid and crazy"" for being pregnant as a post-doc, and that she ""wouldn't have hired me if she had known that I was pregnant"". She suggested that I should have aborted once I got the job with her, so I could focus on my career. Hilariously, she recounted tales of how she SCUBA-dived when she was a pregnant post-doc, basically saying that she could accomplish research when she was pregnant, but that I wouldn't be capable at doing so. She also gave me unwanted advice, such as getting a C-section was preferable so that I wouldn't wreck myself ""down there"". She gave me this particular advice several times, including on the day I gave birth. She purposefully put up roadblocks to my research (switching goals capriciously), and made it difficult for me to work on my project, and then tried to pin my difficulties on me. I had filed a complaint with HR after that first meeting, because I could sense that she was trying to find ways to fire me. Shortly before I filed, there was another complaint by a staffer in the department filed against my boss for creating a hostile work environment, unrelated to my situation.  ",Natural sciences,Research Institute,Other,Graduate Student,Chair/Dean/Head,334
4,"While doing my PhD studies a collegue used to enter my office and left messages with the word 'whore', he also used to call me that way around the working place and send me pictures of his genitals once. Also, he told many office colleges that we have sex, which was not true. When I explicitly told other people in the department I work about the situation he come to the office and told me to stop playing the victim. He stops for some months, but he eventually start doing it again before graduation. From this incident I was called ""feminazi"" by a professor.",Formal sciences,Elite Institution,Male,Graduate Student,Graduate Student,104
5,"My physics lab partner of two years groped me and put me down verballys.
A elderly visiting professor (history) kissed me in my car when I gave him a ride home.
A fellow student was told she should change her thesis subject from military operations to mothers of soldiers because she was a woman.",Humanities,Regional College,Male,Graduate Student,Faculty,52
6,"The professor for whom I was a TA constantly made comments about my appearance, clothing, and makeup. At one point, he asked me, in front of my entire class, if I was married or planned to get married soon. ",Humanities,Elite Institution,Male,Graduate Student,Undergraduate Student,40
7,"At a professional conference I was  presenting research on a panel with 2 other women from my program. The senior tenured male professor who served as adviser to most of us (and taught/graded all of us) referred to us as ""his harem"" in front of the room. It was treated as a joke with the professor and several senior people in our field laughing.", Social sciences,Research Institute,Other,Graduate Student,Graduate Student,65
8,"When in graduate school, I was propositioned by a professor emeritus who was a close friend of my academic advisor. I'd known him for a few years, and when I heard his wife was dying of cancer, offered to take him to coffee, during which he asked if we could become involved sexually. He held my hand and told me to 'please not make it an age thing'. I was embarrassed and horrified, as I'd considered him to be a second mentor and believed he'd respected me as a future colleague. I extracted myself and wrote him a letter asking him to cease as it made me feel uncomfortable, and that if he didn't, I would take matters to the university. He never spoke to me directly again, but continued attending department functions during my remaining two years in the program, and eventually did end up dating a graduate student in her 20s after I left. He was in his 70s.", Social sciences,Research Institute,Male,Graduate Student,Faculty,161
9,"It was widely known that a senior, tenured professor in my department would pursue new graduate students. While I was his graduate assistant, said professor had a (consensual, but since he was on all the fellowship committees, etc., still not really OK) relationship with one of my friends. As a new graduate student I did not know that this was his MO, and he had asked my friend to keep it a secret, so it was a weird and stressful year, compounded by him making inappropriate comments throughout the year. At the department holiday department, he and another one of my professors who I was chatting with started to talk about how hot they think Asian women are literally over my head (as an aside: I am short, and while it normally is not sexual harassment, men often start to talk about something else literally over my head instead of shifting positions to directly speak to each other when I'm in a group, and it is infuriating). Later on I found out that this happened basically every year or two.",Humanities,Research Institute,Male,Graduate Student,Faculty,180
10,"Three years ago, my department head e-mailed a sexual joke to all the faculty in our department. The joke consisted of a picture of a construction sign that had a misspelling that made the sign have an unintended sexual meaning (in our department's foreign language). Translated, the sign read ""Put yourself on two girls"" instead of ""Put yourself into two lines"". He added his own commentary to the image in the subject line. Translated, it read: ""Men have dreamed of it, this equipment department has done it [created this sign]"". Then at our department meeting that week, this same department head asked the two women present (not the other male faculty) if they had gotten the joke. My female colleague insisted that she hadn't read the e-mail. I said that I had gotten it. My chair then asked me to explain the joke to the others in the room (including a student). I refused, stating that I felt it was not appropriate. ",Humanities,Regional College,Male,Faculty,Faculty,163
