,event,cleandiscipline_new,itype,gendersquash,cleantarget_new,perpetrator_new,story_word_count
0,"Working as grad researcher, although paid minimum wage, c.15 years ago. Prof leading project constantly stared at my chest and on one occasion brushed past my bottom, deliberately. Same happened (staring) when I started in my current institution 12 years ago - male staff member in permanent post stared at my chest every time we discussed anything including my teaching on his module.",Humanities,Multiple,Male,Graduate Student,Graduate Student,63
1,"There is a senior male scholar in my field who regularly--compulsively even--oversteps boundaries with most women he encounters in professional settings. Over the past decade (and I know from senior colleagues that this has gone on much longer), I have both experienced and witnessed inappropriate behavior from him on multiple occasions at conferences, invited talks, etc., including: 1. excessively touching/stroking women's arms, shoulders, and backs, 2. giving out French ""bisous"" that just happen, as if by accident, to land on the recipient's lips, 3. handing out his phone number with a casual invitation to visit him at his hotel later. ",Humanities,Elite Institution,Male,Graduate Student,Graduate Student,101
2,"First incident: As an undergrad in communication studies and SFSU in the '80's my instructor encouraged me to apply for the grad program. When I did, after I took the entry exam he invited me to his home in order to let me know his decision about my acceptance in to the program. I asked him if I got in and he said he hadn't decided yet. He told me that I had taken the wrong exam and my scores were borderline.  He gave me a tour of his house and in his marital bedroom showed me a picture of his son. He said, ""Isn't he handsome"" , ""Sure"" I said. ""Don't I look like him?"" he asked. ..I didn't know what to say, then he joked about me dating his son and then said he wasn't available, so why not date him instead? I was shocked and extremely uncomfortable I was young and nervous and didn't know what sexual harassment was but I just started getting sick to my stomach. I said, ""I am sorry, I have a boyfriend and I better get going now""  and I left his house flustered. Walking across the street away from his house I was terrified and shaken. I didn't know what was going on but I knew it wasn't good. I was depressed and sick to my stomach for days. Later I realized  he was holding the key to my future and was indirectly asking me to go to bed with him in order to get it. I felt glad that I didn't entirely understand what was happening at the time. I hadn't heard of sexual harassment or quid per quo. But later I always wondered if I got into the program on my own merit, because he needed new students in the program, or if he was afraid I would complain?", Social sciences,Other Type of School,Other,Graduate Student,Graduate Student,313
3,"My graduate school professor had long been mildly inappropriate with me (comments on my body, disparaging remarks about my partner, wanting to discuss sexual preferences) but I always laughed it - and the other rumors and complaints against him - off as him being my ""friendly grad school professor"". Until he raped me, after offering me a very lucrative consulting job at his company. ",Applied science,Regional College,Other,Graduate Student,Faculty,65
4,"At an off campus event with multiple faculty and luminaries (`40+ people) from the field. A speech was made where everyone at the event was paying strong attention to the speaker. The speech was in fact a joke/toast where it was told that several of the men in attendance wanted to perform amorous/sexual acts with me (I was called out by name and the speaker pointed at me). I had been in my position for only a few months at the time. No one, male or female (aside from my spouse) at the event ever commented on how inappropriate this was or said they were sorry it occurred. This occurred over 8 years ago and I am still at the same institution due to various circumstances.  ",Applied science,Research Institute,Male,Graduate Student,Faculty,128
5,"First, let me say that I'm a male. While I know that around 10% of all sexual harassment incidents involve men as the victims, I think it is important for all to know that this happens to people of all identities.

While I was in graduate school at a major, private university, one of my male, professors would regularly make physical contact with me (kissing me, sticking his tongue in my ear, etc.). He was openly flirtatious with all but would become much more aggressive in private. I felt as if I had no choice but to allow this due to his status and power over my career and, at times, I felt like it might be something that was allowing me to remain in the program. This continued even after I concluded classes as I felt like I needed him as a reference.

I look back now in disgust at what he did but I fully remember the feeling that I had no choice but to submit. I think about this every day now that I'm a professor myself and wield the same power over grad students at a major university. We have to stop this.",Humanities,Elite Institution,Male,Graduate Student,Faculty,195
6,"I eventually had the experience of feeling that at least 3 male faculty on my campus, 2 of whom were in my department, pursued friendships with me outside of classes and formal campus events in several instances, and 2 with the goal of establishing consensual romantic dialogues.  After I went to lunch with the 3rd, which was a bit too long for my comfort (an intellectual dialogue that lasted 5 hours) I felt uncomfortable when he left me several phone messages eager to get together again, distanced myself from him, removed him from my dissertation committee, and never had anything else to do with him for my remaining years in the program.  He seemed to get the message.  In that case I cannot be sure whether he was trying to cross the line but took no chances.  One, I would say, played on my professional vulnerability and isolation and attempted to cultivate the proverbial ""school girl crush.""",Humanities,Elite Institution,Male,Graduate Student,Undergraduate Student,161
7,"I was almost raped by a fellow student, but a random person came along at the last minute and interrupted/stopped it. Oct 1979, Rice University, under some trees along the main road through campus. The student who tried to rape me was a walking buddy, the person who had volunteered to walk me safely across campus at night. These walk with a buddy patrols were set up after a young woman was found raped and murdered near campus.",Humanities,Elite Institution,Male,Graduate Student,Graduate Student,78
8,"In my first semester as a grad student in 1990, my mentor (who had previously bragged about his pornography collection and jokingly asked me to bring in nude photos - which I dismissed as ""sick humor"") began massing my shoulders while I was entering data on a computer. Suddenly, his hands went under my shirt and onto my breasts. I left immediately and walked around campus in a daze.", Social sciences,Research Institute,Male,Graduate Student,Faculty,69
9,"I was his best student, a great writer, supremely talented, he said.  I was 16, 17, 18 -- he was my high school English teacher.  He permanently tied my sense of myself as an intellectual and a literary scholar to my sense of worth as a sexual person.  He sexually molested me for three years.  It was the 1980s.  I complained, and nothing happened to him.",Humanities,Other Type of School,Male,Undergraduate Student,Graduate Student,71
