,event,target,cleantarget,perpetrator,perpgender,gendersquash,cleandiscipline,itype,cleantarget_new,perpetrator_new,cleandiscipline_new
120,"I was an undergraduate and a professor casually asked if I had a boyfriend, then asked what his ethnicity was. I was dating a non-Latinx white man at the time. The professor joked that I was a race-traitor and put his hand on my thigh. ",Sophomore undergraduate,Sophomore Undergraduate,Potential mentor/advisor for a summer research project ,Male,Male,Literature,Regional College,Graduate Student,Staff,Humanities
960,I was sexually assaulted by a PhD student.,PhD student,Phd Student,PhD student senior to me,Male,Male,Music,Elite Institution,Graduate Student,Graduate Student,Humanities
937,"I was sexually assaulted by another grad student. He engineered a situation in which the rest of us drank excessively while he only appeared to do the same. I started to regain consciousness while he was groping me. When I refused to keep quiet about what he had done, he portrayed it all as consensual. Mutual ""friends,"" both male and female, spread rumors about me, portraying me as unstable or alleging that I had pursued him. Some of these people lied about events when the university conducted their investigation. Following the investigation, I was black-balled by other grad students. At least one student continued to repeat the story of how I had ""wronged"" her friend four years after the assault, spreading her allegations to people completely unconnected to the situation. ","PhD student, studying for prelims","PhD student, studying for prelims",PhD student,Male,Male,English,Research Institute,Graduate Student,Graduate Student,Humanities
952,"As a young assistant professor at an art school I noticed an older adjunct faculty member who would lurk in the halls or appear out of nowhere and stare. Other colleagues agreed he was ""creepy."" Fast forward 10 years. I was now department chair and it came to my attention that this same guy, who taught poetry writing, was making female undergraduates pretty uncomfortable. Rather than teaching everyone together in a classroom, he held tutorials in his tiny office with the door closed so that he could work with each individual student on her writing. One student came forward when she received an envelope of poems at her home address (which she had not shared with him -- he had gotten the registrar to tell him where she lived). Although he would deny it, the poems were highly suggestive and personal, mentioning, for example, a tattoo on her leg and the street she lived on. He also called her on her cell phone and asked her questions about her boyfriend. He would have students bring some of their art to class so he could help them translate their inspiration into words; in her case he honed in on a photograph in which she appeared in the background, in the shadows, partly nude. (This was in that tiny office with the door closed.) The student filed a complaint, and I had her taken out of the class and asked another colleague to work with her through the rest of the semester so that she could get credit for the course. This was just the first incident. This student filed a complaint which was adjudicated through a complex system that included both the in-house sexual harassment procedure and the state-wide faculty union grievance process. His defense was that he was working very hard with each student to draw out their creative energy based on what he saw in their work, and of course, they explored all kinds of subjects in their work. The fact that they were 20 years old and he was somewhere in his 70s, supposedly mature enough to know where to draw the line, did not seem to register. He had several advocates in the department, all male and quite senior to me, who argued that his writing poems for the students was a matter of free speech, and that stopping it would cast a shadow over the principles of artistic freedom at the school. The poet was able to keep his job with a stern warning, an order not to have students in his office alone, and a remedial sexual harassment training program -- something required by state law that had not really been enforced for adjunct faculty, putting the university in a position of potential liability. He came to my office in the fall and told me he was very sorry, he now understood, and I would never have any trouble with him again. I told him I hoped he meant it. But of course he kept up the same behavior, choosing new students for his obsession each term. After the students saw that he had not been fired, they were very reluctant to bring new complaints against him, and feeling very upset that I had not been able to get justice for the first student, I did not feel I could push them to complain, as I could make no promises. I could only take the incident to the civil rights officer, but without a formal complaint we could go no further. Every time I went to him and told him I knew what he was up to, he wanted to know who complained, and whined about how he had a constitutional right to face his accuser. He denied and denied, and begged me not to take away the only meaningful thing left in his life. After a couple of these incidents he seems to have understood he couldn't do this with students in his class, but decided it would be ok to stalk random students he saw in the halls. Two years after my term was up, he turned his attention to a graduate student, followed her to the cafeteria, invited himself to have lunch with her, offered to help her with recommendations, etc. She didn't like it but she felt she had to be polite to a professor. Then he wrote a little play and e-mailed it to her. There was immediately a second e-mail saying ""maybe you shouldn't open that other e-mail but just delete it."" Naturally she opened it. It was very explicit. She brought it to public safety, who called HR, and at last he was escorted out of the building and banned from campus. The grievance procedure dragged on for over a year with his old friends declaiming over and over the violation of his civil rights, but the firing was upheld at last.",Chair of a large liberal arts department,Chair of a large liberal arts department,Adjunct professor,Male,Male,Art History,Other Type of School,Chair/Dean/Head,Faculty,Humanities
1312,"As an undergraduate, I took several classes with a professor who taught on a topic I enjoyed. He regularly gave me positive feedback on my work.  At some point, I asked him to become my advisor. At some point in my senior year, we went  out to lunch.  At the end of lunch, he told me his wife was out of town and asked if I wanted to come home with him for a martini. It was the middle of the day, on a weekday.

Over the years, I think I began to discount that memory, or my interpretation of it. Surely this full professor had not basically propositioned me when I was in college - I must have misremembered or imagined it.

Years later, as a postdoc, I ran into him at a conference that was being hosted at his institution (he had moved since I completed my undergrad). We briefly said hello, nothing more.

Later, when I landed a TT job, he reached out via email to congratulate me, and asked if I would be at a large conference that year. I was planning to attend, and was flattered that he was following my career.  I agreed to have dinner with him at the conference. We had dinner, and talked a great deal about my career trajectory.  He talked about his wife, and I talked about my partner of (at that time) 7 or 8 years, so there was no misunderstanding that we were both in committed relationships.  After dinner, he asked me up to his hotel room, which I politely declined.  As we said goodnight, he acted as if he would kiss me on the cheek.  At the last second, he turned and kissed me full on the mouth instead.","Undergrad, then postdoc, then asst professor","Undergrad, then postdoc, then asst professor","A full professor at my undergraduate institution, then later just a full professor at an institution unrelated to me.",Male,Male,Philosophy,Research Institute,Graduate Student,Graduate Student,Humanities
999,"In a parking lot after a drink to celebrate my new collaboration to a project, a colleague/fellow student admitted being attracted to me, I told him I was not interested and he pressed his body against mine and pinned me between my car while the guy who wanted to kiss me. After the refusal, his attitude towards me changed and he started to be uncooperative, difficult and treated me differently alone vs in groups (cordial in groups, cold and difficult in the office)","Undergrad, full-time student, newly hired to work as a part-time coordinator on a PhD project for one of my teachers.","Undergrad, full-time student, newly hired to work as a part-time coordinator on a PhD project for one of my teachers.","He was the previous coordinator, he recommended me to the professor as he needed to take some time off and wanted a replacement. He also was a class fellow, different cohort but we had few classes together that Fall. He was new to me, I did not know him prior to the classes.",Male,Male,Contemporary Languages,Other Type of School,Graduate Student,Faculty,Humanities
442,Multiple professors in my department commented on my body image and weight. One professor in particular made a sexually charged comment in regards to my body. This professor was known to have made creepy comments on student’ physical appearances in the past. I was wearing shorts with black leggings under- nothing sexy or revealing. This was in 2011/2012.,5th year undergrad,5Th Year Undergrad,Tenured faculty. I knew him since I was 13 though.,Male,Male,Music,Regional College,Graduate Student,Faculty,Humanities
1046,"Harassed at an admissions interview - interviewer placed his hand on my knee, well up under my skirt. Ostensibly it was to reassure me that I didn't need to know much about his own research (which I hadn't really read up on in depth, giving I was not applying to work in his lab or sub-field... which was a fact I tried to explain but he had great difficulty grasping)",PhD program applicant,Phd Program Applicant,Professor and member of admissions committee,Male,Male,Medical Genetics,Elite Institution,Graduate Student,Faculty,Applied science
139,"A male colleague repeatedly made comments about how my body looked in my clothing. Among other statement, he commented on how a shirt complemented my shape and a skirt showed off my legs. These comments were sometimes made in front of other colleagues, who said nothing. He sometimes sent comments over social media, and although I blocked him to prevent the messages, the constant contact made me quite upset. He even showed up at my house once and made a very uncomfortable comment.",Adjunct instructor,Adjunct Instructor,an instructor who has taught at the university 5 years longer than I have. It was often suggested I work with him on course revisions and service projects.,Male,Male,English,Research Institute,Faculty,Faculty,Humanities
1328,"During a decade of graduate study, there were too many incidents to include here. Some highlights:
- Propositioned more than once by different senior faculty members, at least one of whom was well known to have relationships with female graduate students.
- Routinely denigrated by a faculty member for whom I TAed, who insulted me in front of the lecture hall full of undergraduate students and regularly encouraged them to consider me unfavorably in comparison to the other TAs. I was 25 and female. The other TAs were all at least ten years older and male.
- Criticized on more than one occasion by more than one female faculty member for choosing to get married, supporting my husband in his return to grad school before I was done with my degree, and being, according to them, insufficiently feminist in my behavior, particularly in relation to senior male faculty. I was told on more than one occasion by fellow students that one female faculty person spoke of me critically when I was not present, focusing on my style of working with male faculty.",PhD student / candidate,Phd Student / Candidate,"Senior faculty in my graduate program, including at different times my advisor,  supervisors in TA/RA assignments, and an acting dean.",Various incidents with people of different genders,Other,Religion,Research Institute,Graduate Student,Graduate Student,Humanities
