,event,target,cleantarget,perpetrator,perpgender,gendersquash,cleandiscipline,itype,cleantarget_new,perpetrator_new,cleandiscipline_new
2386,"Long-standing history of predatory behaviour by male TAs (mostly Master's students) toward fellow MA students and undergraduate students in their classes. This behaviour likely based on their ""superiority"", playing on insecurities of junior colleagues and students.
TAs dated undergraduate students in their seminars. Professors were informed and there were no consequences. Brock University is a toxic work environment with unhappy scholars who behave poorly and get no reprimand. ",Undergraduate student,Undergraduate Student,Teacher,Man,Other,Film,Research Institute,Graduate Student,Faculty,Humanities
658,"faculty member senior to me “joked” about my sexual preferences, commented on my ass, made sexual remarks so he could enjoy my humiliation ","untenured, then sssociate","Untenured, Then Sssociate",slightly senior ,Male,Male,Music,Regional College,Faculty,Graduate Student,Humanities
1838,"In December of 2015, the Chair of my department got angry at me for questioning a scheduling decision and told me that he would like me to ""lift my skirt."" He then proceeded to tell me how many times he ""has thoughts about me"" and had to ""stop himself from coming down to my office."" After I sent him an email asking him not to speak like that to me anymore, he sent me three emails (to my university as well as my private email address) and put a 2-page typed letter under my office door.  He admitted in those emails and the letter what he had said and did.  So, this was not a ""he said/she said"" -- it was a ""she said/he agreed.""  After the email and letter under my door, which very much made my skin crawl, I filled out a harassment complaint.","I was the Chair of my department until I took a different position as a Director at my university.  However, I still taught in my former department so, in effect, I had two supervisors, one of whom was the person who  harassed me.","I was the Chair of my department until I took a different position as a Director at my university.  However, I still taught in my former department so, in effect, I had two supervisors, one of whom was the person who  harassed me.",The Chair of my department.,Male,Male,Business,Regional College,Head,Head,Applied science
1713,Several female graduate students in my department were harassed by a professor,First year graduate student,First Year Graduate Student,Professor in required course,Male,Male,Sociology,Research Institute,Graduate Student,Faculty, Social sciences
542,"Professor repeatedly showed rape scenes from films in class and asked women to discuss them, cornered women in his office and after class, had sexual relationships with students (undergraduate and graduate), raped a graduate student.

This occurred from 2014 - 2017.",Graduate Student,Graduate Student,Associate Professor,Male,Male,English,Research Institute,Graduate Student,Faculty,Humanities
318,"Middle-aged male graduate student  harassed me and my best friend (also male).  The harrasser assumed there was a sexual relationship between me and my friend.  He asked my friend about what I wore, what we did together, and other, even more intimate questions with a sexual theme.  The harasser also ogled me repeatedly, kneeling or sitting in positions where he could get a good look at my body. ",First-year MA student,First-Year Ma Student,2nd or 3rd year ABD student ,Male,Male,Humanities,Research Institute,Graduate Student,Graduate Student,Humanities
2203,"I attended a conference of the American Sociological Association. THE SAME PROMINENT PERSON FROM UNC WHO SOMEONE ELSE SUBMITTED INFO ABOUT ON HERE CONTACTED ME, TOO, PRIOR TO THE CONFERENCE. I hope that woman sees this submission so she knows she's not alone!! I was mid-level in the field and was flattered that he had researched my work. I knew his name because he's published and prominent. He suggested we meet to discuss my work further. Everything seemed above-board and friendly but business-like but my spidey sense kicked in when he said that he preferred to work and network out of his hotel suite. I didn't commit to anything and then got busy at the conference and didn't communicate further. When I thought of it later, I shrugged it off though I was pretty sure he'd contacted me only because he'd found my photo and thought he'd like to start something with me. Knowing this was likely the same person at the same conference that another poster submitted, I wanted to add this because it sounds like her experience upset her quite a lot. I just wanted to add my #metoo for her benefit. [KK: feel free to email me at gettenure@gmail.com so that I can potentially connect others]",Assistant Professor ,Assistant Professor ,Professor and Program Director of a prominent center,Male,Male,Sociology,Multiple,Faculty,Head, Social sciences
120,"I was an undergraduate and a professor casually asked if I had a boyfriend, then asked what his ethnicity was. I was dating a non-Latinx white man at the time. The professor joked that I was a race-traitor and put his hand on my thigh. ",Sophomore undergraduate,Sophomore Undergraduate,Potential mentor/advisor for a summer research project ,Male,Male,Literature,Regional College,Graduate Student,Administrator,Humanities
1002,"The professor for whom I worked (he was 40, I was 19) constantly hit on me, invaded my personal space, and asked me out for drinks. At one point, he kissed me (hard, tongue kiss). I came to find out this was a pattern for him--I was not the first.",An undergraduate student,An Undergraduate Student,A professor for whom I worked in the area of my major.,Male,Male,Astronomy,Research Institute,Graduate Student,Graduate Student,Natural sciences
1951,"I went to see my professor about a paper I was working on.  He had already commented a few times in class and in the hallways about my ""big, blue eyes"". 
 In his office, with the door closed told asked me if I was scared (be cause my eyes were so big).  I said, ""No."" I didn't know what else to do.  Then he told me he liked my ring and w/out consent took my hand and admired my ring for a good long while, while I waited silently for him to give me back my hand.  A few minutes later after I attempted to return the conversation to my paper,   he again commented on my ring and said, ""It's a shame you bit your nails.  You could have very beautiful hands.|",Graduate student / TA,Graduate Student / Ta,Professor,Male,Male,English,Other Type of School,Graduate Student,Faculty,Humanities
