,event,target,cleantarget,perpetrator,perpgender,gendersquash,cleandiscipline,itype,cleantarget_new,perpetrator_new,cleandiscipline_new,story_word_count,index
0,"My advising professor asked me to sleep with him, and when I said no, he quietly retreated from his adviser roll. I had no backup as he was the last of the discipline in the department. His behavior was well known: he had an open string of girlfriends drawn from the graduate pool over the years. He had one when he hit on me. Presumably she was wowed by trips to France and fine wine. But his contempt for women was obvious. By that time he was in his 60s. I took my qualifying exams and left the institution to scratch out a study site on my own to complete my dissertation. I fought hard - without meaningful letters of recommendation - for a career in academia. Even still, 20 years later, I do not have a network of invested academics 'who raised me'. The response of the institution - a female chair at the time- was cliche. ""Oh that's just how he is and we can't legislate love"".  LOVE?? 
It easily set my career back 10 years, but I guess, after having read so many stories of women ""hounded out"" (excellent terms, btw), I should consider myself ""one of the lucky ones"". At that time in the late 80s and early 90s, several women were harassed in the short time I was there. The climate at the time gave both senior and junior male profs approval for selecting partners from the grad pool with impunity. ",ABD graduate student.,Abd Graduate Student.,"Full professor, white male",Male,Male,Psychology,Research Institute,Graduate Student,Faculty,Social sciences,246,
1,"In my final few months of graduate school, my dissertation chair invited me to his hotel room while we were at a conference to talk about my work... moments into our ""discussion"" I found that he was taking his pants off and wanted sexual intercourse. I feared that he would no longer support me if I went against his wishes. At the same time, I worried that people I respected, including my committee members, would denigrate me and my work if it were known that I had had sexual intercourse with him. I took on the situation as my own psychologically, and continue to suffer deep emotional trauma from this experience. I later ended up working with this same professor post-graduation on a major research project, and while I had made clear that I was not interested in any sexual relationship with him, he proceeded to engage in aggressive sexual harassment and sexual assault in his role as my supervisor. Once I settled into the job, he began to routinely grope me at work. He put his hands on my breast or genitals whenever he could manage it. He regularly commented on my body, shape, size, and sex appeal. He has verbally and physically threatened to rape me on several occasions. At each meeting with him, I anticipate I will be subject to some sort of sexual abuse or public ridicule because of my gender, but he is my supervisor, letter writer, and a giant in my field. This harassment is on-going and while I want to file a complaint with my university, I have been told by many colleagues and other women he has abused that the university does not care about me/us; it will always protects its cherished professors. And I have watched closely as other complaints of sexual harassment and assault are poorly handled by my university and how each time the accuser lost and the accused, often a professor, was unharmed. ","Grad student 
untenured teaching and administration ","Grad student 
untenured teaching and administration ","Full professor 
supervisor ",Male,Male,Social Science,Elite Institution,Graduate Student,Faculty,Social sciences,327,
2,Working in a remote international field site with my Professor and several other students. Professor says in public to me that if anything happened with his wife he would marry me. He acted like I was supposed to fall down on my knees and THANK HIM for this comment!! I was sick to my stomach. ,Undergraduate student,Undergraduate Student,Professor,Male,Male,Geosciences,Elite Institution,Undergraduate Student,Faculty,Natural sciences,56,
3,"My leg was felt up and down in a public meeting by a colleague sitting next to me. I had on pants, so it was above the pants, but he grabbed my leg at the knee, rubbed it all the way down to the ankle and all the way back up to the knee again.",New Assistant Professor (first 6 months at the institution) on the TT,New Assistant Professor (first 6 months at the institution) on the TT,Full Professor in a different department but closely related research field,Male,Male,Education,Regional College,Faculty,Faculty,Applied science,55,
4,"Three weeks after my PhD defense, my PhD advisor started making hand-touches that were uncomfortable, and after an occasion where I pulled away, he started acting differently - making disclosures about his sex life, talking about his sex dreams. It changed the nature of the mentoring relationship, and I made a hasty decision to leave the lab because of this. I went to a lab that I hated, and was later unemployed. ",PhD student ,Phd Student ,Faculty (PhD advisor),Male,Male,Life Sciences,Elite Institution,Graduate Student,Faculty,Natural sciences,73,
5,"Circa 2000-2002: A graduate TA put me on the bar at the meeting place of the German Stammtisch club, and inserted his fingers into my vagina. The bar was closing, I was somewhat inebriated, and yet I don't understand how he got away with this. There were other students there; they seemed to think it was funny.",Undergraduate,Undergraduate,Graduate TA,Man,Male,German,Research Institute,Undergraduate Student,Graduate Student,Humanities,57,
6,"He was married to a woman living in another country at the time. Some physical intimacy, lots of cybersex. It was consensual at first, but then when I wanted to break it off he wouldn't let it go. Used a lot of manipulation to keep me involved and close. I should have known better to see through it, but I'd never been in a relationship before.",undergraduate,Undergraduate,lecturer in my major department,Male,Male,Ancient Languages,Elite Institution,Undergraduate Student,Faculty,Humanities,66,
7,"So many stories- which to choose? Professor showed a powerpoint of what kinds of items would be good bribes for grades. Many of the items were luxury apparel/luxury lifestyle items. Gave every non-cismale student the heebie jeebies. Touched woman/femme students' knees. Frequently discussed sexually explicit topics that had nothing to do with class. (this was an intro astronomy class). Although he is married with kids, propositioned a classmate on a dating website and sent her very sexually explicit messages. Made me dread going to class and lab, especially because lab was at night on the roof of the science building.",Undergrad,Undergrad,Professor,Male,Male,English;Library Science,Regional College,Undergraduate Student,Faculty,Humanities,100,
8,"Final semester of my masters degree program, after classes had ended (during final exam week).  I was majoring in music.  My professor came to the final rehearsal of my grade recital.  I went to his office the next day for feedback.  He told me that my performance was not sufficient and that I would fail the recital, thereby not earning my degree.  I had a 3.9 GPA, no grade lower than an A- in any of this professor's classes, had given performance awards by this professor, and had a full assistantship to coach others in my performance area (awarded by the same professor).  When I sat down on his office sofa, in shock, to process this information, he sat next to me, placed his hand on my inner thigh, and said ""but there is one way you could still pass.""  I stood up, left, and performed the recital.  He left a message on my phone later confirming that I would not receive the degree.  I did not.  I never told anyone.  I was in therapy for four years afterward, medicated, and hospitalized for suicidal ideation.  ",Graduate Student,Graduate Student,Full professor and probably the world's leading figure in my field,Male,Male,Music,Regional College,Graduate Student,Faculty,Humanities,198,
9,Was out for drinks with another grad student when he told me I only did better than him on our math midterm because the professor wanted to fuck me. I was I left the bar he complained he had paid for all my drinks (he had not) and didn't even get a kiss. He proceeded to stalk and harass me for the next few months.,First-year grad student,First-Year Grad Student,Another first-year grad student,Male,Male,Political Science,Elite Institution,Graduate Student,Graduate Student,Social sciences,65,
10,"During a conference happy hour, a professor from another university complimented the paper I had presented and invited me to submit it for publication in a journal he co-edits. Later, he kissed my cheek, tried to kiss me on the mouth, and asked if I had ""any more time"" to spend with him that night. ",PhD student,Phd Student,"Senior professor, journal editor, influential figure in a scholarly community I had hoped to join ",Male,Male,English,Research Institute,Graduate Student,Faculty,Humanities,56,
